Family , Metal Loading [wt.%],CR Metal [pm], Support 1,MW Support 1 [g mol-1],Name of Support2,MW of Support 2 [g mol-1],Name of Support 3,MW Support 3 [g mol-1],Total MW of Support [g mol-1], Promoter 1,Promoter 1 loading [wt.%],Promoter 2,Promoter 2 loading [wt.%],Calcination Temperature [K],Calcination duration [h],SBET [m2 g-1],H2/CO2 [-],GHSV [cm3 h-1 gcat-1],Catalyst amount [g],Pressure [Mpa],Temperature [K],STY [mgh-1 g-1],
Cu,27,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,105,3,8800,0.5,3,433,66.05,https://doi.org/10.1016/j.jcat.2007.04.003
Cu,31,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,4,163,3,8800,0.5,3,433,65.96,https://doi.org/10.1016/j.jcat.2007.04.003
Cu,31,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,4,163,3,15600,0.25,2,513,65.89,https://doi.org/10.1016/j.cej.2017.02.010
Cu,34,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,123,3,2400,0.5,3,513,65.54,https://doi.org/10.1002/ente.201402091
Cu,4.7,138,SiO2,60.08,0,0,0,0,60.08,Zn,2.3,Ga,1.5,873,2,137,3,18000,0.5,2,543,65.34,https://doi.org/10.1016/S0926-3373(00)00205-8
Cu,33.5,138,ZnO,81.38,ZrO2,123.22,TiO2,79.86,284.46,0,0,0,0,673,4,38.7,3,2399.79,0.5,3,513,65.32,https://doi.org/10.1016/j.apsusc.2015.02.122
Cu,39,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,69,3,2400,0.5,3,513,65.22,https://doi.org/10.1002/ente.201402091
Cu,50.25,138,ZnO,81.38,0,0,0,0,81.38,Pd ,0.35,0,0,623,3,24.1,3,10800,0.2,4.5,523,65,https://doi.org/10.1016/j.jcat.2017.12.029
Cu,6,138,ZnO,81.38,0,0,0,0,81.38,Ga,1.9,0,0,873,2,6,3,18000,0.5,2,543,64.58,https://doi.org/10.1016/S0926-3373(00)00205-8
Cu,30,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,140,3,2400,0.5,3,513,64.46,https://doi.org/10.1002/ente.201402091
Pd,5,131,CeO2,172.12,0,0,0,0,172.12,Zn,5,0,0,773,3,80.67,3,2400,0.5,3,533,64.43,https://doi.org/10.1016/j.apcata.2018.04.036
Cu,45.5507,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,5.3,0,0,673,5,74.1,3,2240,1,3,503,64.38,https://doi.org/10.1016/j.catcom.2014.05.014
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,773,2,34,3,7500,0.2,3,573,64.29,https://doi.org/10.1021/acs.iecr.0c04688
Cu,39,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,69,3,2400,0.5,3,493,63.84,https://doi.org/10.1002/ente.201402091
Cu,10,138,Al2O3,101.96,ZnO,81.38,ZrO2,123.22,306.56,Mn ,5,0,0,873,6,189.7,3,5760,5,2,523,63.41,https://doi.org/10.1016/j.jiec.2015.03.001
Pd,8,131,CeO2,172.12,0,0,0,0,172.12,Zn,5,0,0,773,5,45,3,2400,0.5,2,473,63.27,DOI:10.7546/CRABS.2019.06.05
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,17.8,3,1800,0.5,3,513,63.22,https://doi.org/10.1016/j.jcat.2010.01.009
Cu,31.5,138,ZnO,81.38,0,0,Al2O3,101.96,183.34,0,0,0,0,673,5,78.3,5,1500,1,3,503,62.5,https://doi.org/10.1016/j.apcata.2013.10.010
Cu,33.5,138,ZnO,81.38,ZrO2,123.22,TiO2,79.86,284.46,0,0,0,0,673,4,38.7,3,2399.79,0.5,3,493,62.39,https://doi.org/10.1016/j.apsusc.2015.02.122
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,623,3,22.8,4,16000,0.5,4,613,62.37,https://doi.org/10.1016/j.cclet.2020.05.031
Cu,8.4,138,CNT,12,0,0,0,0,12,In,7,0,0,773,5,134.6,3,7500,0.2,1,553,62.33,https://doi.org/10.1002/aic.16490
Cu,12.8,138,ZrO2,123.22,CNT,12,0,0,135.22,0,0,0,0,623,2,154,3,3600,0.5,3,533,62.2,https://doi.org/10.1039/C5RA04774A
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,623,3,22.8,4,16000,0.5,4,613,61.88,https://doi.org/10.1016/j.cclet.2020.05.031
Cu,7.7,138,CNT,12,0,0,0,0,12,In,6.4,0,0,773,5,161.6,3,7500,0.2,0.5,553,61.86,https://doi.org/10.1002/aic.16490
Cu,12.3,138,ZrO2,123.22,CNT,12,0,0,135.22,0,0,0,0,623,2,161,3,3600,0.5,3,513,61.8,https://doi.org/10.1039/C5RA04774A
Cu,44.935,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Nd,5,0,0,673,5,67.4,3,2240,1,3,503,61.7,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,45.5,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,5,83.3,3,2240,1,3,483,61.59,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,34,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,123,3,2400,0.5,3,493,61.53,https://doi.org/10.1002/ente.201402091
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,54.8,3,1800,0.5,3,513,61.42,https://doi.org/10.1016/j.catcom.2009.05.004
Cu,40.2,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,4,94.9,3,2400,0.5,3,513,61.12,https://doi.org/10.1016/j.ijhydene.2018.12.131
Cu,30.3,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,4,39.1,3,2399.79,0.5,3,513,60.82,https://doi.org/10.1016/j.apsusc.2015.02.122
Cu,15.1,138,ZnO,81.38,0,0,0,0,81.38,Ga ,5.1,0,0,623,3,5,3,10000,0.15,3,523,60.51,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,6.8,138,ZnO,81.38,0,0,0,0,81.38,Ga,2.5,0,0,873,2,15,3,18000,0.5,2,543,60.29,https://doi.org/10.1016/S0926-3373(00)00205-8
Cu,15.1,138,ZnO,81.38,0,0,0,0,81.38,Ga ,5.1,0,0,623,3,5,3,10000,0.15,3,523,60.26,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,16.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.6,0,0,623,3,10,3,10000,0.15,3,533,60.22,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,16.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.6,0,0,623,3,10,3,10000,0.15,3,533,60.22,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,10,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,873,2,124,3,7200,0.5,3,513,60.16,https://doi.org/10.1016/j.enconman.2015.07.033
In2O3,2.23,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,773,3,103,4,24000,0.1,5,553,60,https://doi.org/10.1016/j.jtice.2017.06.049
Cu,8.6,138,ZrO2,123.22,0,0,0,0,123.22,Pd,4.9,0,0,723,5,53,3,3600,0.2,4.1,523,59.9,https://doi.org/10.1016/j.apcata.2019.117210
Cu,44,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,673,4,30,3,2400,0.5,3,513,59.75,https://doi.org/10.1002/ente.201402091
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,773,2,34,3,7500,0.2,3,603,59.63,https://doi.org/10.1021/acs.iecr.0c04688
Cu,42,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Y,0,0,0,773,4,39,3,10000,0.6,1,503,59.41,https://doi.org/10.1039/C5CY00372E
Cu,56.26,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Mn,3,0,0,573,4,19,3,13200,2,8,453,59.27,https://doi.org/10.1016/j.apcata.2006.05.035
Cu,58.1,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,2,52,3,14400,0.4,3,473,59.2,https://doi.org/10.1016/j.cattod.2019.01.015
Cu,41.4,138,ZnO,81.38,Al2O3,101.96,ZrO2,123.22,306.56,0,0,0,0,773,5,46,3,12000,0.5,5,463,59,https://doi.org/10.1016/j.cattod.2016.02.004
Cu,10,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,873,2,154,3,7200,0.5,3,513,58.88,https://doi.org/10.1016/j.enconman.2015.07.033
In2O3,8.4,144,ZrO2,123.22,0,0,0,0,123.22,Y,2.9,0,0,573,2,88,4,52000,0.15,0.4,528,58.79,https://doi.org/10.1016/j.apcata.2019.117144
Cu,36.7,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Cr,8.8,0,0,673,4,66.2,3,2400,0.5,3,513,58.24,https://doi.org/10.1016/j.ijhydene.2018.12.131
Cu,30.8,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Si ,2.9,0,0,623,4,145,3,15600,0.25,2,513,57.9,https://doi.org/10.1016/j.cej.2017.02.010
Cu,8.6,138,TiO2,79.86,0,0,0,0,79.86,Pd,4.9,0,0,723,5,38,3,3600,0.2,4.1,523,57.6,https://doi.org/10.1016/j.apcata.2019.117210
Cu,10,138,ZrO2,123.22,CNT,12,0,0,135.22,N2,0.84,0,0,623,2,128,3,3600,0.5,3,573,56.93,https://doi.org/10.1016/j.cattod.2017.04.017
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,623,3,24.8,4,8000,0.5,4,613,56.91,https://doi.org/10.1016/j.cclet.2020.05.031
Cu,29.5,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,5,90.9,5,1120,1,3,503,56.76,https://doi.org/10.1016/j.apcata.2013.10.010
Cu,30,138,ZnO,81.38,ZrO2,123.22,Al2O3,101.96,306.56,0,0,0,0,673,5,106.3,5,1120,1,3,503,56.66,https://doi.org/10.1016/j.apcata.2013.10.010
Cu,12.5,138,SiO2,60.08,0,0,0,0,60.08,0,0,0,0,823,7,618,3,6000,0.7,5,523,56.6,https://doi.org/10.1016/j.catcom.2016.06.010
Cu,11.96,138,SiO2,60.08,0,0,0,0,60.08,0,0,0,0,823,7,618,3,6000,0.7,5,523,56.6,https://doi.org/10.1016/j.catcom.2016.06.010
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,36,503,56.5,https://doi.org/10.1039/C2CY20604H
Cu,28,138,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,623,3,93,3,10800,0.5,2,523,56.32,https://doi.org/10.1016/S1872-5813(10)60041-2
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,47.7,3,1800,0.5,3,513,56.27,https://doi.org/10.1016/j.catcom.2009.05.004
Cu,6.8,138,ZnO,81.38,0,0,0,0,81.38,Ga,2.5,0,0,873,2,15,3,18000,0.5,2,533,56.26,https://doi.org/10.1016/S0926-3373(00)00205-8
Cu,30.7,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Si ,1.15,0,0,623,4,214,3,15600,0.25,2,533,56.12,https://doi.org/10.1016/j.cej.2017.02.010
Cu,30.3,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,4,39.1,3,2399.79,0.5,3,493,56.11,https://doi.org/10.1016/j.apsusc.2015.02.122
Cu,30,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,140,3,2400,0.5,3,493,56.04,https://doi.org/10.1002/ente.201402091
Cu,30,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Si ,5.4,0,0,623,4,122,3,15600,0.25,2,493,55.91,https://doi.org/10.1016/j.cej.2017.02.010
Cu,10.3,138,ZrO2,123.22,CNT,12,0,0,135.22,0,0,0,0,623,2,128,3,3600,0.5,3,493,55.5,https://doi.org/10.1039/C5RA04774A
Cu,10,138,Al2O3,101.96,ZnO,81.38,ZrO2,123.22,306.56,Mn ,5,0,0,873,6,189.7,3,4320,5,2,523,55.49,https://doi.org/10.1016/j.jiec.2015.03.001
Cu,35,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,N doped Graphene,10,0,0,623,5,102,3,2240,0.5,3,473,55.1,https://doi.org/10.1002/slct.201803186
Cu,40.8,138,ZnO,81.38,Al2O3,101.96,ZrO2,123.22,306.56,0,0,0,0,773,5,112,3,12000,0.5,5,463,55,https://doi.org/10.1016/j.cattod.2016.02.004
Cu,31.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,93,3,1500,0.7,4,513,54.8,https://doi.org/10.1016/j.jcou.2016.11.015
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,17.8,3,1800,0.5,3,493,54.77,https://doi.org/10.1016/j.jcat.2010.01.009
In2O3,12,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,41,3,4500,0.5,3,593,54.75,https://doi.org/10.1016/j.apsusc.2019.05.363
Cu,27,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,105,3,8800,0.5,1,473,54.54,https://doi.org/10.1016/j.jcat.2007.04.003
Cu,35.4,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,37.3,3,2399.79,0.5,3,513,54.54,https://doi.org/10.1016/j.apsusc.2015.02.122
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,17.2,3,1800,0.5,3,513,54.41,https://doi.org/10.1016/j.catcom.2009.05.004
Cu,60.9,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,2,139,3,14400,0.4,3,473,54.4,https://doi.org/10.1016/j.cattod.2019.01.015
Pd,5,131,CeO2,172.12,0,0,0,0,172.12,Zn,5,0,0,773,3,80.67,3,2400,0.5,3,493,54.33,https://doi.org/10.1016/j.apcata.2018.04.036
Cu,31.5,138,ZnO,81.38,0,0,Al2O3,101.96,183.34,0,0,0,0,673,5,78.3,5,1120,1,3,503,54.23,https://doi.org/10.1016/j.apcata.2013.10.010
Cu,8.6,138,Al2O3,101.96,0,0,0,0,101.96,Pd ,4.9,0,0,723,5,126,3,3600,0.2,4.1,523,54.14,https://doi.org/10.1016/j.apcata.2019.117210
In2O3,24,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,65,3,4500,0.5,3,593,54.07,https://doi.org/10.1016/j.apsusc.2019.05.363
Cu,45.5,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,5,83.3,3,2240,1,3,523,54.01,https://doi.org/10.1016/j.catcom.2014.05.014
Pd,5,131,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,3,43.4,3,3600,0.5,3,493,53.71,https://doi.org/10.1016/j.apcata.2016.01.006
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,36,503,53.4,https://doi.org/10.1039/C2CY20604H
Cu,10,138,ZrO2,123.22,CNT,12,0,0,135.22,N2,0.84,0,0,623,2,128,3,3600,0.5,3,493,53.15,https://doi.org/10.1016/j.cattod.2017.04.017
Cu,56.26,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Mg ,3,0,0,573,4,12,3,13200,2,8,473,53.04,https://doi.org/10.1016/j.apcata.2006.05.035
Cu,31.5,138,ZnO,81.38,0,0,Al2O3,101.96,183.34,0,0,0,0,673,5,78.3,5,4480,1,3,503,53.03,https://doi.org/10.1016/j.apcata.2013.10.010
Cu,30,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,140,3,2400,0.5,3,533,52.46,https://doi.org/10.1002/ente.201402091
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,10,473,51.9,https://doi.org/10.1039/C2CY20604H
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,623,3,22.8,4,16000,0.5,4,573,51.89,https://doi.org/10.1016/j.cclet.2020.05.031
Cu,6,138,ZnO,81.38,0,0,0,0,81.38,Ga,1.9,0,0,873,2,6,3,18000,0.5,2,533,51.84,https://doi.org/10.1016/S0926-3373(00)00205-8
Cu,34,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,123,3,2400,0.5,3,533,51.54,https://doi.org/10.1002/ente.201402091
Cu,10,138,ZrO2,123.22,CNT,12,0,0,135.22,N2,2.98,0,0,623,2,75.5,3,3600,0.5,3,493,51.46,https://doi.org/10.1016/j.cattod.2017.04.017
Cu,61,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,823,7,618,3,6000,0.7,5,533,51,https://doi.org/10.1016/j.catcom.2016.06.010
Cu,12.5,138,SiO2,60.08,0,0,0,0,60.08,0,0,0,0,823,7,618,3,6000,0.7,5,533,51,https://doi.org/10.1016/j.catcom.2016.06.010
Cu,11.96,138,SiO2,60.08,0,0,0,0,60.08,0,0,0,0,823,7,618,3,6000,0.7,5,533,51,https://doi.org/10.1016/j.catcom.2016.06.010
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,723,3,76.4,3,24000,0.1,2,533,50.88,https://doi.org/10.1016/j.jcat.2020.06.018
Cu,45.5507,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,5.3,0,0,673,5,74.1,3,2240,1,3,523,50.58,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,39,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,69,3,2400,0.5,3,533,50.47,https://doi.org/10.1002/ente.201402091
Cu,44,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,673,4,30,3,2400,0.5,3,533,50.41,https://doi.org/10.1002/ente.201402091
