Family , Metal Loading [wt.%],CR Metal [pm], Support 1,MW Support 1 [g mol-1],Name of Support2,MW of Support 2 [g mol-1],Name of Support 3,MW Support 3 [g mol-1],Total MW of Support [g mol-1], Promoter 1,Promoter 1 loading [wt.%],Promoter 2,Promoter 2 loading [wt.%],Calcination Temperature [K],Calcination duration [h],SBET [m2 g-1],H2/CO2 [-],GHSV [cm3 h-1 gcat-1],Catalyst amount [g],Pressure [Mpa],Temperature [K],STY [mgh-1 g-1],
Pd,10.9,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,773,4,8.6,9,7500,0.5,0.1,498,25.45,https://doi.org/10.1007/s10562-015-1627-z
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,573,3,112,2,9000,1,4,673,25.43,https://doi.org/10.1016/j.cej.2021.129120
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,4.8,3,1800,0.5,3,493,25.43,https://doi.org/10.1016/j.jcat.2010.01.009
In2O3,39,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,74,3,4500,0.5,3,613,25.42,https://doi.org/10.1016/j.apsusc.2019.05.363
Cu,6.94,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,141,3,1500,0.7,4,513,25.2,https://doi.org/10.1016/j.jcou.2016.11.015
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,4,141,3,1500,0.7,4,513,25.2,https://doi.org/10.1016/j.jcou.2016.11.015
In2O3,20,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,700,2,119,3,9000,0.5,2,673,25,https://doi.org/10.1016/j.cattod.2020.03.011
Cu,31,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,4,163,3,8800,0.5,1,433,24.89,https://doi.org/10.1016/j.jcat.2007.04.003
Pd,5,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,773,3,69.17,3,2400,0.5,3,533,24.83,https://doi.org/10.1016/j.apcata.2018.04.036
Pd,1.96,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,573,5,106.3,3,10000,0.3,3,513,24.59,https://doi.org/10.1021/acscatal.0c03324
In2O3,12,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,41,3,4500,0.5,3,613,24.51,https://doi.org/10.1016/j.apsusc.2019.05.363
In2O3,20,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,800,2,110,3,9000,0.5,2,673,24.33,https://doi.org/10.1016/j.cattod.2020.03.011
Cu,8.6,138,TiO2,79.86,0,0,0,0,79.86,Pd,4.9,0,0,723,5,2,3,3600,0.2,4.1,523,24.19,https://doi.org/10.1016/j.apcata.2019.117210
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,5.5,3,1800,0.5,3,513,24.05,https://doi.org/10.1016/j.jcat.2010.01.009
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,773,2,34.4,3,7500,0.2,3,513,23.75,https://doi.org/10.1021/acs.iecr.0c04688
Pd,5,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,773,3,69.17,3,2400,0.5,3,523,23.64,https://doi.org/10.1016/j.apcata.2018.04.036
Pd,1.96,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,573,5,106.3,3,14000,0.3,3,513,23.42,https://doi.org/10.1021/acscatal.0c03324
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,3,553,23.1,https://doi.org/10.1039/C2CY20604H
Pd,5,131,SBA-15,60,0,0,0,0,60,Cu,9,0,0,723,5,719,3,3600,0.2,4.1,523,23.04,https://doi.org/10.1016/j.apcatb.2015.01.010
Pd,10.9,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,773,4,8.6,9,7500,0.5,0.1,523,22.73,https://doi.org/10.1007/s10562-015-1627-z
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,3,503,22.6,https://doi.org/10.1039/C2CY20604H
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,573,3,112,4,9000,1,4,673,22.24,https://doi.org/10.1016/j.cej.2021.129120
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,10,533,22.2,https://doi.org/10.1039/C2CY20604H
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,3.3,3,1800,0.5,3,473,21.92,https://doi.org/10.1016/j.jcat.2010.01.009
In2O3,55,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,133,3,4500,0.5,3,613,21.9,https://doi.org/10.1016/j.apsusc.2019.05.363
Cu,8.4,138,SBA-15,60,0,0,0,0,60,0,0,0,0,973,4,324.7,3,12000,0.05,3,553,21.2,https://doi.org/10.1016/j.apcatb.2019.03.059
Cu,20,138,CeO2,172.12,0,0,0,0,172.12,Pd,2,0,0,673,4,12,3,3000,0.2,3,543,20.8,https://doi.org/10.1016/j.mcat.2017.02.005
Pd,10.9,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,623,3,8.6,9,7500,0.5,0.1,548,20.63,https://doi.org/10.1007/s10562-015-1627-z
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,3,533,20.5,https://doi.org/10.1039/C2CY20604H
Cu,27,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,105,3,8800,0.5,1,433,20.22,https://doi.org/10.1016/j.jcat.2007.04.003
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,10,553,20.1,https://doi.org/10.1039/C2CY20604H
In2O3,45,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,87,3,4500,0.5,3,593,20.09,https://doi.org/10.1016/j.apsusc.2019.05.363
Cu,10,138,Al2O3,101.96,ZnO,81.38,ZrO2,123.22,306.56,0,0,0,0,873,6,181.8,3,2016,5,2,523,19.94,https://doi.org/10.1016/j.jiec.2015.03.001
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,573,3,112,3,9000,1,4,673,19.84,https://doi.org/10.1016/j.cej.2021.129120
Cu,6.94,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,141,3,1500,0.7,4,493,19.8,https://doi.org/10.1016/j.jcou.2016.11.015
Cu,8.6,138,TiO2,79.86,0,0,0,0,79.86,Pd,4.9,0,0,723,5,12,3,3600,0.2,4.1,523,19.58,https://doi.org/10.1016/j.apcata.2019.117210
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,10,443,19.5,https://doi.org/10.1039/C2CY20604H
Cu,5,138,CeO2,172.12,0,0,0,0,172.12,Pd,0.5,0,0,673,4,17,3,3000,0.2,3,543,19.07,https://doi.org/10.1016/j.mcat.2017.02.005
In2O3,24,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,65,3,4500,0.5,3,633,18.5,https://doi.org/10.1016/j.apsusc.2019.05.363
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,3.3,3,1800,0.5,3,493,18.47,https://doi.org/10.1016/j.jcat.2010.01.009
Pd,5,131,TiO2,79.86,0,0,0,0,79.86,0,0,0,0,623,3,48,3,3600,0.5,2,448,18.46,https://doi.org/10.1002/cctc.202000974
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,K,5,0,0,673,4,181,3.8,10588.24,0.17,36,553,18.2,https://doi.org/10.1039/C2CY20604H
In2O3,6.2,144,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,623,3,19.4,3,21600,0.5,4,523,18,https://doi.org/10.1002/ente.201800747
Cu,10,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,4,15,3,3000,0.2,3,543,17.92,https://doi.org/10.1016/j.mcat.2017.02.005
Cu,20,138,CeO2,172.12,0,0,0,0,172.12,Pd,2,0,0,673,4,12,3,3000,0.2,3,523,17.79,https://doi.org/10.1016/j.mcat.2017.02.005
In2O3,99.66,144,0,0,0,0,0,0,0,Pt,0.34,0,0,723,3,87.6,3,24000,0.1,2,493,17.68,https://doi.org/10.1016/j.jcat.2020.06.018
Pd,1.96,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,573,5,106.3,3,2000,0.3,3,553,17.6,https://doi.org/10.1021/acscatal.0c03324
Cu,5,138,CeO2,172.12,0,0,0,0,172.12,Pd,0.5,0,0,673,4,17,3,3000,0.2,3,523,17.57,https://doi.org/10.1016/j.mcat.2017.02.005
Cu,5,138,CeO2,172.12,0,0,0,0,172.12,Pd,0.5,0,0,673,4,17,3,3000,0.2,3,503,17.5,https://doi.org/10.1016/j.mcat.2017.02.005
Cu,5,138,CeO2,172.12,0,0,0,0,172.12,Pd,0.5,0,0,673,4,17,3,3000,0.2,3,483,17.38,https://doi.org/10.1016/j.mcat.2017.02.005
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,773,2,34,3,7500,0.2,3,513,17.26,https://doi.org/10.1021/acs.iecr.0c04688
Cu,10,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,4,15,3,3000,0.2,3,523,17.15,https://doi.org/10.1016/j.mcat.2017.02.005
Cu,31,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,4,163,3,15600,0.25,2,533,17.15,https://doi.org/10.1016/j.cej.2017.02.010
Pd,7,131,SiO2,60.08,0,0,0,0,60.08,Cu,9,0,0,723,5,309,1,3600,0.2,4.1,523,17.1,https://doi.org/10.1016/j.cattod.2018.02.055
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,623,3,24.8,4,16000,0.5,2,613,16.97,https://doi.org/10.1016/j.cclet.2020.05.031
Cu,20,138,CeO2,172.12,0,0,0,0,172.12,Pd,2,0,0,673,4,12,3,3000,0.2,3,503,16.77,https://doi.org/10.1016/j.mcat.2017.02.005
Pd,5,131,SiO2,60.08,0,0,0,0,60.08,Cu,9,0,0,723,5,305,1,3600,0.2,4.1,523,16.13,https://doi.org/10.1016/j.cattod.2018.02.055
Cu,17,138,ZnO,81.38,0,0,0,0,81.38,Pd,1,Na,4.8,673,3,12.4,3,14800,0.5,6,513,16,https://doi.org/10.1006/jcat.2002.3677
In2O3,100,144,0,0,0,0,0,0,0,0,0.58,0,0,723,3,73,4,21000,0.1,5,498,15.86,https://doi.org/10.1016/j.jechem.2020.03.083
Pd,12,131,SiO2,60.08,0,0,0,0,60.08,Cu,9,0,0,723,5,292,3,3600,0.2,4.1,523,15.67,https://doi.org/10.1016/j.cattod.2018.02.055
Pd,1.96,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,573,5,106.3,3,2000,0.3,3,533,15.11,https://doi.org/10.1021/acscatal.0c03324
Cu,10,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,4,15,3,3000,0.2,3,503,15.04,https://doi.org/10.1016/j.mcat.2017.02.005
Pd,18.1,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,773,3,7.1,9,7500,0.5,0.1,473,15.02,https://doi.org/10.1007/s10562-015-1627-z
Pd,5,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,773,3,69.17,3,2400,0.5,3,503,14.93,https://doi.org/10.1016/j.apcata.2018.04.036
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,3,473,14.9,https://doi.org/10.1039/C2CY20604H
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,623,3,22.8,4,16000,0.5,2,613,14.77,https://doi.org/10.1016/j.cclet.2020.05.031
In2O3,99.97,144,0,0,0,0,0,0,0,Pt,0.03,0,0,723,3,86.1,3,24000,0.1,2,493,14.43,https://doi.org/10.1016/j.jcat.2020.06.018
In2O3,9,144,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,623,3,28,3,6000,0.2,0.1,563,14.13,https://doi.org/10.1016/j.cej.2021.131767
In2O3,39,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,74,3,4500,0.5,3,633,14.07,https://doi.org/10.1016/j.apsusc.2019.05.363
Pd,2,131,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,3,43.4,3,3600,0.5,3,453,13.98,https://doi.org/10.1016/j.apcata.2016.01.006
In2O3,45,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,87,3,4500,0.5,3,613,13.84,https://doi.org/10.1016/j.apsusc.2019.05.363
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,10,443,13.7,https://doi.org/10.1039/C2CY20604H
Pd,12,131,SiO2,60.08,0,0,0,0,60.08,Cu,9,0,0,723,5,292,1,3600,0.2,4.1,523,13.68,https://doi.org/10.1016/j.cattod.2018.02.055
Pd,5,131,ZnTiO3,242.64,0,0,0,0,242.64,0,0,0,0,623,3,18,3,3600,0.5,2,473,13.5,https://doi.org/10.1002/cctc.202000974
Cu,20,138,CeO2,172.12,0,0,0,0,172.12,Pd,2,0,0,673,4,12,3,3000,0.2,3,483,13.41,https://doi.org/10.1016/j.mcat.2017.02.005
Pd,10.9,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,623,3,8.6,9,7500,0.5,0.1,473,13.23,https://doi.org/10.1007/s10562-015-1627-z
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,3,443,13.2,https://doi.org/10.1039/C2CY20604H
Cu,12.06,138,SiO2,60.08,0,0,0,0,60.08,0,0,0,0,873,7,745,3,6000,0.7,5,543,13.1,https://doi.org/10.1016/j.catcom.2016.06.010
Cu,12.06,138,SiO2,60.08,0,0,0,0,60.08,0,0,0,0,873,7,745,3,6000,0.7,5,533,13,https://doi.org/10.1016/j.apcata.2004.09.014
Pd,10.9,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,773,4,8.6,9,7500,0.5,0.1,473,12.84,https://doi.org/10.1007/s10562-015-1627-z
Cu,17,138,ZnO,81.38,0,0,0,0,81.38,Pd,1,Na,4.8,673,3,12.4,3,14800,0.5,6,493,12.8,https://doi.org/10.1006/jcat.2002.3677
Pd,5,131,TiO2,79.86,0,0,0,0,79.86,Zn,13.78,0,0,623,3,44,3,3600,0.5,2,473,12.8,https://doi.org/10.1006/jcat.2002.3677
Pd,2,131,SiO2,60.08,0,0,0,0,60.08,0,0,0,0,723,5,611,3,3600,0.2,4.1,523,12.67,This study
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,0.4,533,12.6,https://doi.org/10.1039/C2CY20604H
In2O3,8.5,144,ZrO2,123.22,0,0,0,0,123.22,Ni,4.87,Sn,7.14,623,3,98,3,6000,0.25,2.5,523,12.23,https://doi.org/10.1021/acsomega.8b00211
Cu,10,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,4,15,3,3000,0.2,3,483,12.1,https://doi.org/10.1016/j.mcat.2017.02.005
In2O3,8.5,144,ZrO2,123.22,0,0,0,0,123.22,Ni,4.87,Sn,7.14,623,3,98,3,6000,0.25,2.5,523,12.07,https://doi.org/10.1021/acsomega.8b00211
Pd,1.96,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,573,5,106.3,3,2000,0.3,3,513,12,https://doi.org/10.1021/acscatal.0c03324
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,0.4,473,11.8,https://doi.org/10.1039/C2CY20604H
In2O3,98.9,144,0,0,0,0,0,0,0,Ir,1.01,0,0,723,3,68,4,21000,0.2,5,473,11.39,https://doi.org/10.1021/acscatal.0c05628
Pd,2,131,SiO2,60.08,0,0,0,0,60.08,Cu,9,0,0,723,5,304,3,3600,0.2,4.1,523,11.23,https://doi.org/10.1016/j.cattod.2018.02.055
Pd,10.9,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,773,4,8.6,9,7500,0.5,0.1,548,11.13,https://doi.org/10.1007/s10562-015-1627-z
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,5.5,3,1800,0.5,3,473,11.13,https://doi.org/10.1016/j.jcat.2010.01.009
In2O3,45,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,87,3,4500,0.5,3,633,11.12,https://doi.org/10.1016/j.apsusc.2019.05.363
Cu,10,138,Al2O3,101.96,ZnO,81.38,0,0,183.34,0,0,0,0,873,6,196.4,3,2016,5,2,523,11.02,https://doi.org/10.1016/j.jiec.2015.03.001
Cu,49.7,138,ZnO,81.38,Al2O3,101.96,ZrO2,123.22,306.56,0,0,0,0,673,4,181,3.8,10588.24,0.17,36,473,11,https://doi.org/10.1039/C2CY20604H
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,K,5,0,0,673,4,181,3.8,10588.24,0.17,36,473,11,https://doi.org/10.1039/C2CY20604H
Pd,5,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,623,3,14,3,3600,0.5,2,473,10.98,https://doi.org/10.1002/cctc.202000974
Cu,30,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Si ,5.4,0,0,623,4,122,3,15600,0.25,2,533,10.92,https://doi.org/10.1016/j.cej.2017.02.010
Pd,5,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,773,3,69.17,3,2400,0.5,3,493,10.87,https://doi.org/10.1016/j.apcata.2018.04.036
Pd,1.96,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,573,5,106.3,3,18000,0.3,3,513,10.87,https://doi.org/10.1021/acscatal.0c03324
Cu,34,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,N doped Graphene,13,0,0,623,5,83.2,3,2240,0.5,3,473,10.86,https://doi.org/10.1002/slct.201803186
In2O3,7.98,144,ZrO2,123.22,0,0,0,0,123.22,Ni,5.65,0,0,623,3,98,3,6000,0.25,2.5,523,10.71,https://doi.org/10.1021/acsomega.8b00211
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,K,5,0,0,673,4,181,3.8,10588.24,0.17,36,533,10.6,https://doi.org/10.1039/C2CY20604H
Pd,5,131,ZnTiO3,242.64,0,0,0,0,242.64,Zn,13.78,0,0,623,3,21,3,3600,0.5,2,473,10.59,https://doi.org/10.1002/cctc.202000974
In2O3,12,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,41,3,4500,0.5,3,633,10.55,https://doi.org/10.1016/j.apsusc.2019.05.363
Pd,5,131,SiO2,60.08,0,0,0,0,60.08,0,0,0,0,723,5,315,3,3600,0.2,4.1,523,10.37,https://doi.org/10.1016/j.apcatb.2015.01.010
In2O3,9,144,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,623,3,28,3,6000,0.2,0.1,543,9.95,https://doi.org/10.1016/j.cej.2021.131767
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,3,443,9.8,https://doi.org/10.1039/C2CY20604H
Cu,12.06,138,SiO2,60.08,0,0,0,0,60.08,0,0,0,0,673,4,166,3.8,10588.24,0.17,3,443,9.8,https://doi.org/10.1039/C2CY20604H
Cu,17,138,ZnO,81.38,0,0,0,0,81.38,Pd,1,Na,4.8,673,3,12.4,3,14800,0.5,6,473,9.6,https://doi.org/10.1006/jcat.2002.3677
Pd,1.92,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,573,5,41.1,3,2000,0.3,3,513,9.5,https://doi.org/10.1021/acscatal.0c03324
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,0.4,503,9.4,https://doi.org/10.1039/C2CY20604H
Pd,4,131,TiO2,79.86,SiO2,60.08,0,0,139.94,0,0,0,0,673,4,329,3,5400,0.1,0.1,553,9.35,https://doi.org/10.1016/j.mcat.2021.111732
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,0.4,553,9.3,https://doi.org/10.1039/C2CY20604H
Pd,7,131,SiC,40.11,0,0,0,0,40.11,Cu ,2,Zn,5,773,3,29,9,7500,0.8,0.1,523,9.19,https://doi.org/10.1016/j.jcou.2017.09.012
Pd,7,131,SiC,40.11,0,0,0,0,40.11,Cu ,2,Zn,5,773,3,29,9,7500,0.8,0.1,548,9.17,https://doi.org/10.1016/j.jcou.2017.09.012
In2O3,55,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,133,3,4500,0.5,3,633,9.14,https://doi.org/10.1016/j.apsusc.2019.05.363
In2O3,9,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,573,3,82,4,26000,0.3,5,473,9.11,https://doi.org/10.1002/anie.201600943
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,573,3,112,3,9000,1,4,673,9.05,https://doi.org/10.1016/j.cej.2021.129120
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,0.4,553,9,https://doi.org/10.1039/C2CY20604H
Cu,10,138,Al2O3,101.96,ZrO2,123.22,0,0,225.18,0,0,0,0,873,6,224.8,3,2016,5,2,523,8.75,https://doi.org/10.1016/j.jiec.2015.03.001
Cu,13.79,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,623,4,6.7,9,2000,0.5,7,473,8.66,https://doi.org/10.1039/C4CY00848K
In2O3,8.5,144,ZrO2,123.22,0,0,0,0,123.22,Ni,4.87,Sn,7.14,623,3,98,3,6000,0.25,1.5,523,8.41,https://doi.org/10.1021/acsomega.8b00211
